email,name
fanfrey0@indiegogo.com,Gigashots
jhendricks1@webnode.com,Zooveo
rafonso2@lycos.com,Thoughtworks
fbetho3@multiply.com,Gigazoom
fpomfret4@indiegogo.com,Kanoodle
jgaspard5@nyu.edu,Shuffledrive
nelston6@pen.io,Brainbox
cpattenden7@sina.com.cn,Kwimbee
mlovett8@independent.co.uk,Bubblemix
gjannings9@guardian.co.uk,Realcube
cpopescua@wikipedia.org,Zoozzy
cfairbourneb@qq.com,Kwideo
moquirkc@psu.edu,Linkbridge
eandrzejewskid@canalblog.com,Dynabox
baitkenheade@columbia.edu,Edgetag
emarriagef@rambler.ru,Aivee
jnottramg@gov.uk,Gigaclub
vstoakh@answers.com,Demimbu
mstonebanksi@angelfire.com,Katzz
omaccumeskeyj@aol.com,Oyondu
